CAN_ID_HEX	CAN_ID_NAME	CAN_ID_NAME (Translated)	DIAG_ID_HEX	SG_NAME
0x4D0	Netzwerkmanagement	Network management	0x50	Notstrom-Sirene
0x4D3	Netzwerkmanagement	Network management	0x53	IBOC
0x4D4	Netzwerkmanagement	Network management	0x54	SDARS
0x4D5	Netzwerkmanagement	Network management	0x55	ISpeechBox
0x4D7	Netzwerkmanagement	Network management	0x57	NVC
0x4D9	Netzwerkmanagement	Network management	0x59	aLBV_FA
0x4DA	Netzwerkmanagement	Network management	0x5A	aLBV_BF
0x4DB	Netzwerkmanagement	Network management	0x5B	DAB
0x4DC	Netzwerkmanagement	Network management	0x5C	Behoerde
0x4DD	Netzwerkmanagement	Network management	0x5D	TLC
0x4DE	Netzwerkmanagement	Network management	0x5E	GWS
0x4DF	Netzwerkmanagement	Network management	0x5F	FLA
0x4E0	Netzwerkmanagement	Network management	0x60	Kombi
0x4E2	Netzwerkmanagement	Network management	0x62	CCC_GW/M_ASK
0x4E3	Netzwerkmanagement	Network management	0x63	CCC_MM
0x4E4	Netzwerkmanagement	Network management	0x64	PDC
0x4E5	Netzwerkmanagement	Network management	0x65	SZM/SZM_MIT_KBUS
0x4E7	Netzwerkmanagement	Network management	0x67	ZBE/ZBE_LO
0x4EB	Netzwerkmanagement	Network management	0x6B	HKL
0x4ED	Netzwerkmanagement	Network management	0x6D	SM_FA/SM_FA_KBUS
0x4EE	Netzwerkmanagement	Network management	0x6E	SM_BF/SM_BF_KBUS
0x4F0	Netzwerkmanagement	Network management	0x70	LM/LM_ALC
0x4F1	Netzwerkmanagement	Network management	0x71	AHM
0x4F2	Netzwerkmanagement	Network management	0x72	KBM
0x4F3	Netzwerkmanagement	Network management	0x73	CID_C/CID_C_H
0x4F8	Netzwerkmanagement	Network management	0x78	IHKA
0x4FA	Netzwerkmanagement	Network management	0x7A	SH_ZH
0x4FD	Netzwerkmanagement	Network management	0x7D	Diagnosetool_PT_CAN
0x4FE	Netzwerkmanagement	Network management	0x7E	Diagnosetool_K_CAN_System
0x500	Datentransfer [1]	Data transfer [1]	0x70	LM
0x500	Datentransfer [1]	Data transfer [1]	0x78	IHKA
0x509	Netzwerkmanagement	Network management	0x89	Xenon_Scheinwerfer_Links_ALC
0x50A	Netzwerkmanagement	Network management	0x8A	Xenon_Scheinwerfer_Rechts_ALC
0x50B	Netzwerkmanagement	Network management	0x8B	CNV
0x571	Netzwerkmanagement	Network management	0xF1	Diagnosedose
0x580	Dienste	services	0x0	KGM
0x581	Dienste	services	0x1	ACSM
0x582	Dienste	services	0x2	SZL_LWS
0x592	Dienste	services	0x12	DDE1/DME1
0x596	Dienste	services	0x16	AFS
0x597	Dienste	services	0x17	EKP
0x598	Dienste	services	0x18	DKG/EGS_MECH/EGS_MECH+NAVI/SMG/SMG_M
0x599	Dienste	services	0x19	VGSG
0x59B	Dienste	services	0x1B	VVT1
0x59C	Dienste	services	0x1C	LDM
0x59E	Dienste	services	0x1E	VVT2
0x5A0	Dienste	services	0x20	RDC
0x5A1	Dienste	services	0x21	ACC+NAVI/ACC_Modul
0x5A3	Dienste	services	0x23	ARS_Modul
0x5A4	Dienste	services	0x24	CVM_V
0x5A5	Dienste	services	0x25	RSC_VDA/SC_CT/SC_VDA
0x5A7	Dienste	services	0x27	PGS
0x5A9	Dienste	services	0x29	DSC_CT/DSC_RB/DXC_RB
0x5B6	Dienste	services	0x36	TEL_BPI/TEL_JAP/TEL_MULF
0x5B7	Dienste	services	0x37	AMP_TOP
0x5B8	Dienste	services	0x38	EHC
0x5B9	Dienste	services	0x39	EDCK_Modul
0x5BA	Dienste	services	0x3A	KHM
0x5BB	Dienste	services	0x3B	JNAV
0x5BC	Dienste	services	0x3C	CDC
0x5BD	Dienste	services	0x3D	HUD
0x5C0	Dienste	services	0x40	CAS
0x5C1	Dienste	services	0x41	DWA
0x5C4	Dienste	services	0x44	MDS/SHD
0x5C5	Dienste	services	0x45	RLS/RLS
0x5CB	Dienste	services	0x4B	VM
0x5D0	Dienste	services	0x50	Notstrom-Sirene
0x5D3	Dienste	services	0x53	IBOC
0x5D4	Dienste	services	0x54	SDARS
0x5D5	Dienste	services	0x55	ISpeechBox
0x5D7	Dienste	services	0x57	NVC
0x5D9	Dienste	services	0x59	aLBV_FA
0x5DA	Dienste	services	0x5A	aLBV_BF
0x5DB	Dienste	services	0x5B	DAB
0x5DC	Dienste	services	0x5C	Behoerde
0x5DD	Dienste	services	0x5D	TLC
0x5DE	Dienste	services	0x5E	GWS
0x5DF	Dienste	services	0x5F	FLA
0x5E0	Dienste	services	0x60	Kombi
0x5E2	Dienste	services	0x62	CCC_GW/M_ASK
0x5E3	Dienste	services	0x63	CCC_MM
0x5E4	Dienste	services	0x64	PDC
0x5E5	Dienste	services	0x65	SZM/SZM_MIT_KBUS
0x5E7	Dienste	services	0x67	ZBE/ZBE_LO
0x5EB	Dienste	services	0x6B	HKL
0x5ED	Dienste	services	0x6D	SM_FA/SM_FA_KBUS
0x5EE	Dienste	services	0x6E	SM_BF/SM_BF_KBUS
0x5F0	Dienste	services	0x70	LM/LM_ALC
0x5F1	Dienste	services	0x71	AHM
0x5F2	Dienste	services	0x72	KBM
0x5F3	Dienste	services	0x73	CID_C/CID_C_H
0x5F8	Dienste	services	0x78	IHKA
0x5FA	Dienste	services	0x7A	SH_ZH
0x5FD	Dienste	services	0x7D	Diagnosetool_PT_CAN
0x5FE	Dienste	services	0x7E	Diagnosetool_K_CAN_System
0x609	Dienste	services	0x89	Xenon_Scheinwerfer_Links_ALC
0x60A	Dienste	services	0x8A	Xenon_Scheinwerfer_Rechts_ALC
0x60B	Dienste	services	0x8B	CNV
0x671	Dienste	services	0xF1	Diagnosedose
0x7C0	CAS Programmierung Bandende 1 (3)	CAS Programming Bandende 1 (3)	0x40	CAS
0x7C1	CAS Programmierung Bandende 2 (3)	CAS Programming Bandende 2 (3)	0xFF	TOOL_BANDENDE_CAS
0x7C2	CAS Applikationsnachricht 1 (3)	CAS Application Message 1 (3)	0x40	CAS
0x7C3	CAS Applikationsnachricht 2 (3)	CAS application message 2 (3)	0xFF	TOOL_BANDENDE_CAS
0xFFF	unbekannt	unknown	0xFF	Sender unbekannt
